Time (s),Total Torch(N.m)
[619.0],112.65067976721444
[620.0],111.02443403186685
[621.0],111.37522162986319
[622.0],109.99900885607258
[623.0],110.21826941237991
[624.0],109.26100684294677
[625.0],109.31304202002055
[626.0],108.62034416364119
[627.0],108.55598692460542
[628.0],108.02189663568575
[629.0],116.31843512688683
[630.0],111.75707433337678
[631.0],112.01072770631264
[632.0],109.8194787198145
[633.0],110.13790429749541
[634.0],108.71384158168586
[635.0],108.8732503302492
[636.0],107.92643436380204
[637.0],107.9564078798058
[638.0],107.28996896196116
[639.0],132.91180663730196
[640.0],127.7560929326354
[641.0],128.3689287697424
[642.0],126.77591159913918
[643.0],126.56938363236773
[644.0],125.39040756801417
[645.0],124.9943841192339
[646.0],124.02099229331341
[647.0],123.53305113074852
[648.0],122.69334412208408
[649.0],191.76035200246235
[650.0],183.26584050584148
[651.0],180.7025765394502
[652.0],175.49972271939777
[653.0],171.8993795967286
[654.0],166.4533392073948
[655.0],162.75749958962825
[656.0],158.9152371175168
[657.0],156.2395953585476
[658.0],154.20071147941482
[659.0],244.25650067271093
[660.0],220.98650091855964
[661.0],212.26235893460947
[662.0],205.81646247135976
[663.0],198.53697399365552
[664.0],193.14822198024632
[665.0],187.2791925059589
[666.0],172.19602821983017
[667.0],172.9449054993532
[668.0],171.61268272307797
[669.0],189.43958570460947
[670.0],177.19379234713276
[671.0],164.50580659214896
[672.0],174.95789496953861
[673.0],188.1653455623977
[674.0],193.14303582646892
[675.0],196.77849803129496
[676.0],199.4075518731955
[677.0],201.14386954023882
[678.0],202.11207447385732
[679.0],194.91208466257476
[680.0],194.95137190563761
[681.0],192.5514787924168
[682.0],191.49891881965164
[683.0],190.62144382084315
[684.0],203.81146074895122
[685.0],213.5139137344327
[686.0],220.02096579977092
[687.0],223.40961503959716
[688.0],221.85175995753926
[689.0],208.11033199740925
[690.0],203.29798249760793
[691.0],182.41824247599115
[692.0],183.61892080365647
[693.0],183.4685557310672
[694.0],183.31361049001455
[695.0],182.1978146750616
[696.0],181.1631746213583
[697.0],179.50567888146
[698.0],178.04247629891196
[699.0],182.68904909354544
[700.0],179.33990007640043
[701.0],178.53541774903476
[702.0],174.77439525007418
[703.0],174.38722586938565
[704.0],171.38288428619524
[705.0],170.6662805225645
[706.0],168.3066933366326
[707.0],167.35093512749808
[708.0],165.4289598457557
[709.0],170.8267117907037
[710.0],168.78210604871578
[711.0],169.01523086636007
[712.0],166.84997582288804
[713.0],166.4772213968265
[714.0],164.63205237907536
[715.0],163.92147934872256
[716.0],162.3348622432098
[717.0],161.45840074359387
[718.0],160.06106992220117
[719.0],132.67601883234167
[720.0],133.05214406038888
[721.0],131.36246636960195
[722.0],131.61763721767926
[723.0],130.1516886561427
[724.0],129.98642486037951
[725.0],128.84862521225043
[726.0],128.63608790824213
[727.0],127.74453534230595
[728.0],127.34477651615524
[729.0],115.56292139316557
[730.0],115.54419314869769
[731.0],114.58330044191773
[732.0],114.40546570469998
[733.0],113.40951574259503
[734.0],113.27436688810178
[735.0],112.43769022983153
[736.0],112.16200041710435
[737.0],111.44870336222414
[738.0],111.08928880633378
[739.0],109.19652038607293
[740.0],108.48433085762535
[741.0],108.2009984498061
[742.0],108.10334752814909
[743.0],107.76387842421785
[744.0],107.59550288503837
[745.0],107.18046716586268
[746.0],106.98787819729986
[747.0],106.56557441096142
[748.0],106.34173902735873
[749.0],108.32403893522607
[750.0],107.37447125261382
[751.0],106.88012201553175
[752.0],106.20544744115506
[753.0],105.85592339563996
[754.0],105.27690691663928
[755.0],104.9917576066503
[756.0],104.5421930574591
[757.0],104.37663634845678
[758.0],104.00912377023889
[759.0],107.96215127212218
[760.0],107.21451150641622
[761.0],107.25858420267237
[762.0],106.59334832281904
[763.0],106.54224603509353
[764.0],106.00216649661647
[765.0],105.84923726338224
[766.0],105.39374237509135
[767.0],105.18161374060331
[768.0],104.7820350641096
[769.0],102.74428357687152
[770.0],102.25144621256037
[771.0],102.20226454711704
[772.0],101.92480491694732
[773.0],101.76137853414276
[774.0],101.49330661095472
[775.0],101.29426948606306
[776.0],101.03329539652474
[777.0],100.81696686491742
[778.0],100.56324517585978
[779.0],107.4340072850267
[780.0],106.83037188736205
[781.0],106.67401789197633
[782.0],106.30064864065007
[783.0],106.10123017608485
[784.0],105.76996811734264
[785.0],105.54298304681642
[786.0],105.23543700857529
[787.0],104.9944429928704
[788.0],104.70429393880087
[789.0],102.02298538564393
[790.0],101.3946255765235
[791.0],100.80653777310741
[792.0],100.50992339313603
[793.0],100.18358488986426
[794.0],99.96352125501193
[795.0],99.66081899284532
[796.0],99.4269191248602
[797.0],99.14272368790134
[798.0],98.90325169093838
[799.0],105.63994560784641
[800.0],105.12274925085156
[801.0],104.22003613334859
[802.0],103.89365920664514
[803.0],103.2526831739226
[804.0],102.97347850601685
[805.0],102.48282235643907
[806.0],102.21615972167923
[807.0],101.81575680020039
[808.0],101.5558058005421
[809.0],103.70618597834725
[810.0],103.1376384475592
[811.0],102.55279496326446
[812.0],102.22733197629562
[813.0],101.74778671199992
[814.0],101.46296653592029
[815.0],101.0438919102389
[816.0],100.77886630642017
[817.0],100.39971666676111
[818.0],100.1457008245312
[819.0],102.01067579143283
[820.0],101.19748320214819
[821.0],100.72608958214946
[822.0],100.26102056431577
[823.0],99.73036625088731
[824.0],99.27729694076639
[825.0],98.77868076817319
[826.0],98.33810262809386
[827.0],97.87440382426918
[828.0],97.45145316235997
[829.0],103.99945121509383
[830.0],103.08002502698714
[831.0],102.5526441752568
[832.0],101.88246222797387
[833.0],101.3207660097484
[834.0],100.71396154808103
[835.0],100.1887558656146
[836.0],99.63345918196059
[837.0],99.14694507325082
[838.0],98.63148372797475
[839.0],106.5240000269762
[840.0],105.51178531920432
[841.0],104.9646232055721
[842.0],104.2065511770547
[843.0],103.63766442900274
[844.0],102.95888072842145
[845.0],102.4003365757246
[846.0],101.7771640775105
[847.0],101.26432509595942
[848.0],100.73617612464555
[849.0],117.54116451320364
[850.0],116.34488439413296
[851.0],115.8774996051926
[852.0],114.8897748904241
[853.0],114.29006946087713
[854.0],113.40277402656479
[855.0],112.76994933596907
[856.0],111.96500058828585
[857.0],111.32711127779
[858.0],110.58560964506987
[859.0],120.27207783942121
[860.0],118.45807663692938
[861.0],118.09269116331537
[862.0],116.88123332966293
[863.0],116.35233304922923
[864.0],115.33092453832111
[865.0],114.73918869642513
