Time (s),left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_elbow_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_elbow_pitch_joint
53.0,-5.9564936859877715,-6.64365843892716,-2.130595362783822,-1.0199889491023129,-3.6318457172510508,1.6471410097597445,-3.891423189088595,1.054126497431959,1.1557781189693224,-6.519349137070909,-6.914797775003661,-2.871755460663163,-0.206030075819841,-1.3519540196202935,1.7178752931547563,2.903299185017069,0.9399917961675008,-0.6561274447730834
54.0,-5.7012353182044535,-6.551745818412188,-1.9476359423842768,-0.6629775947952474,-3.561236311492885,1.4699859205897905,-3.824612798331307,1.0465494093435064,1.164177797960139,-6.196977695497047,-6.822931422186528,-2.822854845439263,-0.44959772541074194,-1.3534774988775164,1.472247118477359,2.859344155614066,0.9104677749388459,-0.6440628790674332
55.0,-5.499730250112913,-6.447602805481391,-1.7584898959981754,-0.35720282489017663,-3.493284150209897,1.566014030172917,-3.7645072755487847,1.0421401422381504,1.159916661215913,-5.941254281402994,-6.724997270326198,-2.715227459862409,-0.6404283679353471,-1.3507175496511787,1.6288814889173326,2.816574481450631,0.8786866404036799,-0.626769636787107
56.0,-5.3292226682221875,-6.339806177543996,-1.6196163592610078,-0.08740999179427256,-3.4311092604225095,1.457931526487851,-3.7089117562855383,1.0380983438695055,1.1490094236028956,-5.7228977631598745,-6.628015794477271,-2.6473495055739695,-0.7949771418890266,-1.34525599155584,1.4808149212819264,2.7744419769178226,0.8474844525299838,-0.6084394305043617
57.0,-5.195589067295368,-6.22512986402476,-1.4800342221521454,0.14515934554239607,-3.3699261186404543,1.5049819824490953,-3.6563425673981476,1.0356756892751333,1.1330244865614,-5.5442172266890175,-6.526564442851547,-2.5529054709585113,-0.917523714177876,-1.3372252979628318,1.5624371535963775,2.732819986905117,0.8154648234256783,-0.5886263198543831
58.0,-5.0838683212812885,-6.108546894681984,-1.3716756645574406,0.35084713624799235,-3.3130128979369395,1.4364917773109438,-3.6058734782585526,1.0332446756764768,1.1148941644008519,-5.388878635451526,-6.425158612512385,-2.485713189448168,-1.0171436774460172,-1.3277542710400985,1.470720713925362,2.6915491380319407,0.7842590141882395,-0.5692690244183745
59.0,-1.0711223319380294,-4.531315696591755,-0.6234846932992791,1.4306891299692666,-5.775130492612128,0.08987307020518198,-3.873078325941647,2.25781184715326,0.84597517657019,-13.153194502947258,-4.223240124548252,2.134512831547799,-3.631241925478008,-6.26153630916117,1.7824784556787443,4.304747528684192,0.878318023362489,-0.7465980832673906
60.0,-1.933279578775949,-4.542355784908326,-0.0680523485976754,0.8399737274720493,-3.650705384531717,1.6006518367503586,-3.799848030259083,2.2343301904240453,0.7941000583531674,-11.850505312944602,-3.9296155988404893,0.8196659398495525,-4.747842136105634,-2.356612567074265,1.0854347804869047,4.174843193795711,0.8768148071455353,-0.995260080033908
61.0,-2.3460242806781975,-4.499687977112274,-0.13660349801874855,0.8490087218581079,-4.021262703535381,0.419454839814871,-3.701880369145325,2.200388043343273,0.8174691270096603,-11.156570166853614,-3.7544957135036707,0.28494216238126535,-4.841172515235443,-3.107520065922717,1.6560143654514636,4.097604779954009,0.8667092768517222,-1.0941362500629377
62.0,-2.691785673688277,-4.430977326208235,0.0003276703399060499,0.8143423044071261,-3.888571222484858,1.275699796040676,-3.608157770691666,2.1659901382365865,0.8407983232549321,-10.606310317125017,-3.6268166477063812,-0.13007079879799455,-4.942594847069119,-2.946233976936476,1.2560532688944699,4.025909573646752,0.8550302759573731,-1.1504170083491534
63.0,-2.9044590594745237,-4.362033805612351,-0.09731874765229331,0.86068660563115,-3.860291178863026,0.6197281516708846,-3.52088212711543,2.1286306424833215,0.864051564296868,-10.19422284415106,-3.5316154509034536,-0.2891934796051623,-4.931247862820091,-2.943368291860396,1.5564106629244878,3.963579580593839,0.8439871711864648,-1.1723101294122746
64.0,-3.09278791490956,-4.28205646360097,-0.06086489826490085,0.904372444612231,-3.798343121683873,1.091523882212091,-3.44151788586862,2.0923541350847024,0.8774292716076684,-9.85157946378753,-3.453437478157694,-0.4271171983283155,-4.876363820458879,-2.9066361230248523,1.3232922588408709,3.905409361565573,0.8315799150557441,-1.1756806564200142
65.0,-3.2216455625663727,-4.206883377957094,-0.1335974744307766,0.9740873048919649,-3.7503087260911414,0.7269694464605012,-3.3694864031286986,2.0552488824027466,0.8842960154688236,-9.561130316350845,-3.3861281485089068,-0.46070462556807446,-4.7915891602594245,-2.8696996251713847,1.4807121222247255,3.850694740738307,0.8200080630223008,-1.1674148444294998
66.0,-3.341704097813356,-4.127738066650112,-0.12356391480571133,1.0369798933336627,-3.693063696605349,0.9834072188717142,-3.3036704993070236,2.019257844953562,0.883322940927619,-9.300352271584519,-3.3245616809872063,-0.5021258904657162,-4.690278747135426,-2.8328632576510726,1.3434121073841596,3.7978096324800057,0.8078487951424691,-1.1523661154659413
67.0,-3.43004649288461,-4.052911199910516,-0.16761011518072833,1.1097275753341878,-3.6427935701802854,0.7793953042405874,-3.2429954386033537,1.9831596615417513,0.8779121742741588,-9.063578417831218,-3.2668129194910125,-0.49793605410114106,-4.579693719969207,-2.793347506057981,1.4234538438107989,3.746529753032487,0.7963251550830748,-1.133155018616669
68.0,-3.512825922011046,-3.9767955548751477,-0.16340227635023583,1.1756812840066466,-3.5881463952957855,0.9163603253917092,-3.18645930335946,1.9479526716128055,0.8681215547838337,-8.841625954531812,-3.211033558787334,-0.505108121902095,-4.464132883374891,-2.755263617439181,1.3406068681487757,3.696163955178817,0.7846052446965883,-1.1115606509003255
69.0,-8.053553605875477,-3.2649688987247805,-1.9674227556852895,1.1498314275497226,-3.2787016249599725,2.010900846123225,-3.241938080327065,1.844503024646285,0.9579316442806022,-5.767736860415594,2.300724492674003,0.7949441600767972,0.863346693423461,-3.376050076393434,1.4414487484768195,3.4305783061485022,0.5687358189279366,-1.0468729966662398
70.0,-7.475640526809235,-3.3305070746393755,-1.783136347611621,1.5010132657958373,-3.4625549998932783,0.713143667067579,-3.162813765635956,1.7724302117288264,1.0301839634445797,-5.3861169321554545,2.254286688429351,0.6921387378681576,0.47631588828393734,-2.5330713830040725,1.1875268104842869,3.358989543813732,0.5958406325548173,-1.039142155402848
71.0,-7.049465053056489,-3.346919948248022,-1.4003676158828242,1.7176606910198657,-3.3418893686850115,1.6400854021794808,-3.1070211919586272,1.7139457946839962,1.0579886973671486,-5.13563466201788,2.2229058732025364,0.6915659470793662,0.3083716203108082,-2.670125183548125,1.3639487498024176,3.3005408156132496,0.6100186336881122,-1.0068535982608047
72.0,-6.62809631227777,-3.365736647623625,-1.2826903768724933,1.9285882605640339,-3.299808113041606,0.9197852425817312,-3.0619728764228844,1.6560319554699472,1.0694916579945593,-4.906202270062769,2.1848101867704988,0.6624147241654095,0.14774593611866793,-2.6176220922375295,1.2114600648722327,3.243218065621584,0.625060429127039,-0.9760040635889244
73.0,-6.299821645620185,-3.3592252103266147,-1.0555014633372486,2.0734657569443247,-3.2326620676858964,1.423120837646917,-3.0238144287711846,1.6053127573234427,1.064628262784259,-4.72304471655972,2.1574920104917923,0.6728376397908828,0.02850462795027653,-2.598354880192762,1.308616223247273,3.1877075732395146,0.6338913486076803,-0.9414499280302129
